Stock,Date,Industry,Open,Close,High,Low,Volume,Adjust Close Price,Daily Value Traded,Beta,RSI,EPS,Total Revenue Quarter,Dividend per share Quarter
XOM,1/18/2023,Energy,113.26,110.61,114.12,110.3987,16.39969,100.64107,1813.96971,1.37453,53.06306,6.15461,93790,0.91
XOM,1/17/2023,Energy,113.41,112.93,114.08,112.67,16.5422,102.75198,1868.11065,0.21996,59.90088,6.15461,93790,0.91
XOM,1/16/2023,Energy,0,0,0,0,0,102.95215,0,-29.50981,60.58837,6.15461,93790,0.91
XOM,1/15/2023,Energy,0,0,0,0,0,102.95215,0,0.30586,60.58837,6.15461,93790,0.91
XOM,1/14/2023,Energy,0,0,0,0,0,102.95215,0,0.32293,60.58837,6.15461,93790,0.91
XOM,1/13/2023,Energy,113.11,113.15,113.49,112.16,12.01136,102.95215,1359.08538,0.32293,60.58837,6.15461,93790,0.91
XOM,1/12/2023,Energy,111.82,113.22,113.74,111.74,15.35732,103.01584,1738.75577,-0.53177,60.79452,6.15461,93790,0.91
XOM,1/11/2023,Energy,110.99,111.37,111.45,109.085,16.71037,101.33258,1861.03391,2.3323,57.22261,6.15461,93790,0.91
XOM,1/10/2023,Energy,109.79,110.09,110.33,108.005,15.1046,100.16794,1662.86541,1.08216,54.56301,6.15461,93790,0.91
XOM,1/9/2023,Energy,111.64,108.47,111.64,107.81,17.96459,98.69394,1948.61908,-0.04054,50.98135,6.15461,93790,0.91
XOM,1/8/2023,Energy,0,0,0,0,0,100.56828,0,-0.32811,56.21353,6.15461,93790,0.91
XOM,1/7/2023,Energy,0,0,0,0,0,100.56828,0,-0.32811,56.21353,6.15461,93790,0.91
XOM,1/6/2023,Energy,110.08,110.53,111.99,109.67,16.34813,100.56828,1806.95881,-0.32811,56.21353,6.15461,93790,0.91
XOM,1/5/2023,Energy,106.34,109.21,109.95,106.31,15.94656,99.36725,1741.52382,-1.01468,53.36581,6.15461,93790,0.91
XOM,1/4/2023,Energy,104.8,106.82,107.155,104.76,18.0584,97.19265,1928.99829,3.2302,47.64059,6.15461,93790,0.91
XOM,1/3/2023,Energy,109.78,106.51,110.02,105.49,15.14617,96.91059,1613.21857,30.48336,46.85475,6.15461,93790,0.91
XOM,1/2/2023,Energy,0,0,0,0,0,100.35901,0,-0.12534,56.47765,6.15461,93790,0.91
XOM,1/1/2023,Energy,0,0,0,0,0,100.35901,0,0.6683,56.47765,6.15461,93790,0.91
XOM,12/31/2022,Energy,0,0,0,0,0,100.35901,0,0.6683,56.47765,6.15461,93790,0.91
XOM,12/30/2022,Energy,108.61,110.3,110.5,108.61,11.79964,100.35901,1301.50029,0.6683,56.47765,6.15461,107438,0.88
XOM,12/29/2022,Energy,107.99,109.2,109.72,107.99,10.53403,99.35815,1150.31608,0.8138,53.92752,6.15461,107438,0.88
XOM,12/28/2022,Energy,109.91,108.38,110,107.902,10.70208,98.61206,1159.89143,3.80361,51.97987,6.15461,107438,0.88
XOM,12/27/2022,Energy,109.27,110.19,110.465,108.83,11.96206,100.25893,1318.09939,1.26572,56.91098,6.15461,107438,0.88
XOM,12/26/2022,Energy,0,0,0,0,0,98.88502,0,2.29422,53.49324,6.15461,107438,0.88
XOM,12/25/2022,Energy,0,0,0,0,0,98.88502,0,1.3245,53.49324,6.15461,107438,0.88
XOM,12/24/2022,Energy,0,0,0,0,0,98.88502,0,1.30788,53.49324,6.15461,107438,0.88
XOM,12/23/2022,Energy,106.95,108.68,108.74,106.9,11.53945,98.88502,1254.10743,1.30788,53.49324,6.15461,107438,0.88
XOM,12/22/2022,Energy,107.89,105.88,108.19,104.1,13.2155,96.33737,1399.25714,1.14808,46.13693,6.15461,107438,0.88
XOM,12/21/2022,Energy,108.29,108.06,108.585,107.16,13.56537,98.3209,1465.87388,0.32149,52.0942,6.15461,107438,0.88
XOM,12/20/2022,Energy,105.17,106.69,107.51,105.07,14.68,97.07437,1566.2092,1.52153,48.19039,6.15461,107438,0.88
XOM,12/19/2022,Energy,105.26,105.17,106.2,104.38,13.61112,95.69136,1431.48149,0.63371,43.44217,6.15461,107438,0.88
XOM,12/18/2022,Energy,0,0,0,0,0,95.26372,0,0.13178,41.91367,6.15461,107438,0.88
XOM,12/17/2022,Energy,0,0,0,0,0,95.26372,0,0.61645,41.91367,6.15461,107438,0.88
XOM,12/16/2022,Energy,103.69,104.7,105.58,103.1301,54.59662,95.26372,5716.26611,0.61645,41.91367,6.15461,107438,0.88
XOM,12/15/2022,Energy,105.33,105.44,106.17,103.7,15.36789,95.93703,1620.39032,0.60245,43.63786,6.15461,107438,0.88
XOM,12/14/2022,Energy,107.99,106.46,108.3,105.75,17.59733,96.8651,1873.41175,1.54666,46.06316,6.15461,107438,0.88
XOM,12/13/2022,Energy,107.8,107.25,108.54,107.02,24.30535,97.5839,2606.74879,1.49664,47.98101,6.15461,107438,0.88
XOM,12/12/2022,Energy,103.83,106.09,106.24,103.585,20.41317,96.52845,2165.63321,1.45233,44.85025,6.15461,107438,0.88
XOM,12/11/2022,Energy,0,0,0,0,0,94.20827,0,1.06205,37.12599,6.15461,107438,0.88
XOM,12/10/2022,Energy,0,0,0,0,0,94.20827,0,1.54842,37.12599,6.15461,107438,0.88
XOM,12/9/2022,Energy,104.59,103.54,105.95,103.3,21.29819,94.20827,2205.21459,1.54842,37.12599,6.15461,107438,0.88
XOM,12/8/2022,Energy,106.28,104.42,106.795,103.71,21.12876,95.00896,2206.26512,1.63057,38.87057,6.15461,107438,0.88
XOM,12/7/2022,Energy,103.78,103.65,104.8548,102.37,20.06173,94.30835,2079.39832,1.69564,36.44399,6.15461,107438,0.88
XOM,12/6/2022,Energy,105.9,103.88,107.04,103.145,21.19698,94.51763,2201.94228,1.22345,36.84972,6.15461,107438,0.88
XOM,12/5/2022,Energy,110.7,106.85,111.36,105.94,19.28775,97.21995,2060.89609,1.23216,42.52659,6.15461,107438,0.88
XOM,12/4/2022,Energy,0,0,0,0,0,99.95867,0,0.43563,49.73738,6.15461,107438,0.88
XOM,12/3/2022,Energy,0,0,0,0,0,99.95867,0,0.28851,49.73738,6.15461,107438,0.88
XOM,12/2/2022,Energy,109.51,109.86,111.71,109.2,15.24839,99.95867,1675.18813,0.28851,49.73738,6.15461,107438,0.88
XOM,12/1/2022,Energy,111.64,110.8,112.07,110.18,14.39831,100.81395,1595.33275,0.19086,52.30942,6.15461,107438,0.88
XOM,11/30/2022,Energy,111.54,111.34,111.9,109.78,23.15806,101.30528,2578.4184,0.66302,53.79333,6.15461,107438,0.88
XOM,11/29/2022,Energy,110.61,110.54,111.8,109.792,14.45317,100.57738,1597.65341,2.64856,51.91691,6.15461,107438,0.88
XOM,11/28/2022,Energy,110.66,109.81,111.46,109.62,23.01767,99.91317,2527.57034,1.74905,50.20346,6.15461,107438,0.88
XOM,11/27/2022,Energy,0,0,0,0,0,103.00674,0,-0.23729,59.35038,6.15461,107438,0.88
XOM,11/26/2022,Energy,0,0,0,0,0,103.00674,0,2.4211,59.35038,6.15461,107438,0.88
XOM,11/25/2022,Energy,113.88,113.21,114.61,113.06,7.13601,103.00674,807.86803,2.4211,59.35038,6.15461,107438,0.88
